date,amzn,amzn_volume,amzn_change_pct,ixic,ixic_volume,ixic_change_pct,nasdaqndxt,sp500_25,sp500_25_change_pct,spx,spx_change_pct,vixcls,vxazn,amzn_lag1,amzn_delta,amzn_volume_lag1,amzn_volume_delta,amzn_change_pct_lag1,amzn_change_pct_delta,ixic_lag1,ixic_delta,ixic_volume_lag1,ixic_volume_delta,ixic_change_pct_lag1,ixic_change_pct_delta,nasdaqndxt_lag1,nasdaqndxt_delta,sp500_25_lag1,sp500_25_delta,sp500_25_change_pct_lag1,sp500_25_change_pct_delta,spx_lag1,spx_delta,spx_change_pct_lag1,spx_change_pct_delta,vixcls_lag1,vixcls_delta,vxazn_lag1,vxazn_delta,amzn_next_return,stage1_significant,stage2_direction,label
2011-01-10,9.23,18.02808251635926,-0.43,2707.8,19.90523547650581,0.17,1430.38,297.61,0.0,1269.8,-0.13,17.54,38.45,9.27,-0.04,18.46431479054547,-36930000.0,-0.22,-0.21,2703.17,4.63,19.95189762395459,-21080000.0,-0.25,0.42,1424.74,5.64,297.61,0.0,-0.04,0.04,1271.5,-1.7,-0.18,0.05,17.14,0.4,37.29,1.16,-0.0011,0,0,Neutral
2011-01-11,9.22,17.846560287569744,-0.11,2716.83,19.860776503909616,0.33,1432.78,297.46,-0.05,1274.5,0.37,16.89,37.56,9.23,-0.01,18.02808251635926,-11210000.0,-0.43,0.32,2707.8,9.03,19.90523547650581,-19190000.0,0.17,0.16,1430.38,2.4,297.61,-0.15,0.0,-0.05,1269.8,4.7,-0.13,0.5,17.54,-0.65,38.45,-0.89,-0.0022,0,0,Neutral
2011-01-12,9.2,17.796686440744416,-0.22,2737.33,19.839079211393802,0.75,1453.68,298.19,0.25,1286.0,0.9,16.24,36.95,9.22,-0.02,17.846560287569744,-2740000.0,-0.11,-0.11,2716.83,20.5,19.860776503909616,-9060000.0,0.33,0.42,1432.78,20.9,297.46,0.73,-0.05,0.3,1274.5,11.5,0.37,0.53,16.89,-0.65,37.56,-0.61,0.0087,0,1,Neutral
2011-01-13,9.28,18.02585881078388,0.87,2735.29,19.9267561456091,-0.07,1453.57,297.67,-0.17,1283.8,-0.17,16.39,36.81,9.2,0.08,17.796686440744416,13800000.0,-0.22,1.09,2737.33,-2.04,19.839079211393802,37850000.0,0.75,-0.82,1453.68,-0.11,298.19,-0.52,0.25,-0.42,1286.0,-2.2,0.9,-1.07,16.24,0.15,36.95,-0.14,0.0172,1,1,Positive
2011-01-14,9.44,18.110071180499446,1.72,2755.3,19.97162052411264,0.73,1476.97,299.55,0.63,1293.2,0.73,15.46,36.18,9.28,0.16,18.02585881078388,5920000.0,0.87,0.85,2735.29,20.01,19.9267561456091,20690000.0,-0.07,0.8,1453.57,23.4,297.67,1.88,-0.17,0.8,1283.8,9.4,-0.17,0.9,16.39,-0.93,36.81,-0.63,0.0127,0,1,Neutral
2011-01-18,9.56,18.172603938908527,1.27,2765.85,20.030478593601295,0.38,1481.92,300.33,0.26,1295.0,0.14,15.87,37.77,9.44,0.12,18.110071180499446,4730000.0,1.72,-0.45,2755.3,10.55,19.97162052411264,28590000.0,0.73,-0.35,1476.97,4.95,299.55,0.78,0.63,-0.37,1293.2,1.8,0.73,-0.59,15.46,0.41,36.18,1.59,-0.023,1,0,Negative
2011-01-19,9.34,18.16952345903808,-2.3,2725.36,20.012565499174293,-1.46,1459.88,297.36,-0.99,1281.9,-1.01,17.31,38.83,9.56,-0.22,18.172603938908527,-240000.0,1.27,-3.57,2765.85,-40.49,20.030478593601295,-8880000.0,0.38,-1.84,1481.92,-22.04,300.33,-2.97,0.26,-1.25,1295.0,-13.1,0.14,-1.15,15.87,1.44,37.77,1.06,-0.0257,1,0,Negative
2011-01-20,9.1,18.554774487178147,-2.57,2704.29,20.155287683440807,-0.77,1437.63,298.01,0.22,1280.3,-0.12,17.99,39.44,9.34,-0.24,18.16952345903808,36560000.0,-2.3,-0.27,2725.36,-21.07,20.012565499174293,75370000.0,-1.46,0.69,1459.88,-22.25,297.36,0.65,-0.99,1.21,1281.9,-1.6,-1.01,0.89,17.31,0.68,38.83,0.61,-0.0253,1,0,Negative
2011-01-21,8.87,18.729928601658695,-2.53,2689.54,20.07195134190646,-0.55,1429.41,298.33,0.11,1283.3,0.23,18.47,41.23,9.1,-0.23,18.554774487178147,21890000.0,-2.57,0.04,2704.29,-14.75,20.155287683440807,-45310000.0,-0.77,0.22,1437.63,-8.22,298.01,0.32,0.22,-0.11,1280.3,3.0,-0.12,0.35,17.99,0.48,39.44,1.79,-0.0034,0,0,Neutral
2011-01-24,8.84,18.534455767135796,-0.34,2717.55,19.883171967724294,1.04,1453.99,299.98,0.55,1290.8,0.58,17.65,42.98,8.87,-0.03,18.729928601658695,-24190000.0,-2.53,2.19,2689.54,28.01,20.07195134190646,-89690000.0,-0.55,1.59,1429.41,24.58,298.33,1.65,0.11,0.44,1283.3,7.5,0.23,0.35,18.47,-0.82,41.23,1.75,0.0,0,0,Neutral
