Date,Price,Open,High,Low,Vol.,Change %
2026-07-02,"25,834.58","26,047.38","26,261.09","25,798.97",559.19M,-0.79%
2026-07-01,"26,040.03","26,039.51","26,238.06","25,954.46",1.75B,-0.66%
2026-06-30,"26,213.72","25,824.47","26,253.04","25,808.06",2.01B,1.52%
2026-06-29,"25,820.14","25,502.09","25,834.35","25,289.76",1.91B,2.07%
2026-06-26,"25,297.62","25,105.41","25,491.38","25,014.96",1.45B,-0.24%
2026-06-25,"25,358.60","25,724.78","25,724.78","25,123.43",1.71B,-0.46%
2026-06-24,"25,476.64","25,578.62","25,840.56","25,354.66",1.91B,-0.43%
2026-06-23,"25,587.04","25,549.76","25,882.57","25,513.26",2.34B,-2.21%
2026-06-22,"26,166.60","26,483.31","26,561.12","26,125.48",2.16B,-1.32%
2026-06-18,"26,517.93","26,410.62","26,559.74","26,188.69",4.80B,1.91%
2026-06-17,"26,021.66","26,493.82","26,511.55","25,960.41",1.98B,-1.34%
2026-06-16,"26,376.34","26,649.97","26,788.62","26,369.39",2.03B,-1.15%
2026-06-15,"26,683.94","26,447.23","26,687.56","26,438.77",1.70B,3.07%
2026-06-12,"25,888.84","25,783.36","26,010.31","25,599.94",1.65B,0.31%
2026-06-11,"25,809.66","25,309.78","25,846.56","25,109.39",1.86B,2.54%
2026-06-10,"25,169.50","25,512.07","25,726.00","25,145.30",1.70B,-1.98%
2026-06-09,"25,678.82","26,110.31","26,259.92","24,980.38",1.95B,-0.97%
2026-06-08,"25,929.66","26,065.07","26,179.65","25,872.68",1.62B,0.86%
2026-06-05,"25,709.43","26,536.59","26,572.25","25,648.47",1.96B,-4.18%
2026-06-04,"26,830.96","26,579.30","26,923.70","26,554.24",1.63B,-0.09%
2026-06-03,"26,853.98","27,092.85","27,130.88","26,769.15",1.81B,-0.89%
2026-06-02,"27,093.90","27,030.07","27,171.29","26,932.77",1.83B,0.03%
2026-06-01,"27,086.81","26,952.58","27,190.21","26,913.12",1.89B,0.42%
2026-05-29,"26,972.62","26,960.84","27,094.80","26,859.27",2.65B,0.20%
2026-05-28,"26,917.47","26,686.53","26,934.84","26,588.52",1.69B,0.91%
2026-05-27,"26,674.73","26,695.44","26,715.31","26,538.31",1.69B,0.07%
2026-05-26,"26,656.18","26,590.50","26,725.29","26,520.30",1.84B,1.19%
2026-05-22,"26,343.97","26,381.56","26,504.55","26,309.80",1.60B,0.19%
2026-05-21,"26,293.10","26,143.62","26,403.57","26,039.37",1.62B,0.09%
2026-05-20,"26,270.36","25,991.51","26,273.76","25,928.33",1.65B,1.54%
2026-05-19,"25,870.71","25,923.49","26,050.29","25,701.44",1.62B,-0.84%
2026-05-18,"26,090.73","26,289.49","26,310.84","25,867.30",1.73B,-0.51%
2026-05-15,"26,225.14","26,288.92","26,460.76","26,097.54",1.87B,-1.54%
2026-05-14,"26,635.22","26,425.47","26,707.14","26,423.21",1.76B,0.88%
2026-05-13,"26,402.34","26,147.65","26,474.18","25,990.16",1.87B,1.20%
2026-05-12,"26,088.20","26,087.01","26,190.48","25,739.22",1.76B,-0.71%
2026-05-11,"26,274.13","26,135.63","26,359.31","26,129.83",1.87B,0.10%
2026-05-08,"26,247.08","25,958.12","26,248.62","25,944.78",1.82B,1.71%
2026-05-07,"25,806.20","25,881.30","26,036.38","25,713.65",1.85B,-0.13%
2026-05-06,"25,838.94","25,495.17","25,850.19","25,464.44",1.87B,2.02%
2026-05-05,"25,326.13","25,258.88","25,361.05","25,217.16",1.59B,1.03%
2026-05-04,"25,067.80","25,112.18","25,210.47","24,913.12",1.49B,-0.19%
2026-05-01,"25,114.44","24,977.79","25,223.12","24,967.09",1.43B,0.89%
2026-04-30,"24,892.31","24,859.94","24,935.60","24,491.83",1.80B,0.89%
2026-04-29,"24,673.24","24,606.53","24,724.11","24,532.70",1.46B,0.04%
2026-04-28,"24,663.80","24,609.57","24,724.70","24,524.23",1.42B,-0.90%
2026-04-27,"24,887.10","24,799.64","24,899.37","24,694.82",1.52B,0.20%
2026-04-24,"24,836.60","24,616.56","24,854.04","24,524.37",1.52B,1.63%
2026-04-23,"24,438.50","24,553.75","24,664.87","24,209.74",1.49B,-0.89%
2026-04-22,"24,657.57","24,462.31","24,660.11","24,421.40",1.50B,1.64%
2026-04-21,"24,259.96","24,465.34","24,537.58","24,198.99",1.56B,-0.59%
