date,ixic,ixic_volume,ixic_change_pct
2011-01-07,"2,703.17","462,380,000",-0.25%
2011-01-10,"2,707.80","441,300,000",0.17%
2011-01-11,"2,716.83","422,110,000",0.33%
2011-01-12,"2,737.33","413,050,000",0.75%
2011-01-13,"2,735.29","450,900,000",-0.07%
2011-01-14,"2,755.30","471,590,000",0.73%
2011-01-18,"2,765.85","500,180,000",0.38%
2011-01-19,"2,725.36","491,300,000",-1.46%
2011-01-20,"2,704.29","566,670,000",-0.77%
2011-01-21,"2,689.54","521,360,000",-0.55%
2011-01-24,"2,717.55","431,670,000",1.04%
2011-01-25,"2,719.25","458,230,000",0.06%
2011-01-26,"2,739.50","480,260,000",0.74%
2011-01-27,"2,755.28","481,920,000",0.58%
2011-01-28,"2,686.89","565,430,000",-2.48%
2011-01-31,"2,700.08","506,640,000",0.49%
2011-02-01,"2,751.19","523,200,000",1.89%
2011-02-02,"2,749.56","464,810,000",-0.06%
2011-02-03,"2,753.88","488,250,000",0.16%
2011-02-04,"2,769.30","466,990,000",0.56%
2011-02-07,"2,783.99","416,650,000",0.53%
2011-02-08,"2,797.05","411,280,000",0.47%
2011-02-09,"2,789.07","466,490,000",-0.29%
2011-02-10,"2,790.45","601,570,000",0.05%
2011-02-11,"2,809.44","486,900,000",0.68%
2011-02-14,"2,817.18","468,900,000",0.28%
2011-02-15,"2,804.35","495,100,000",-0.46%
2011-02-16,"2,825.56","530,030,000",0.76%
2011-02-17,"2,831.58","458,300,000",0.21%
2011-02-18,"2,833.95","597,630,000",0.08%
2011-02-22,"2,756.42","575,020,000",-2.74%
2011-02-23,"2,722.99","588,490,000",-1.21%
2011-02-24,"2,737.90","539,600,000",0.55%
2011-02-25,"2,781.05","468,600,000",1.58%
2011-02-28,"2,782.27","575,720,000",0.04%
2011-03-01,"2,737.41","580,400,000",-1.61%
2011-03-02,"2,748.07","492,070,000",0.39%
2011-03-03,"2,798.74","503,920,000",1.84%
2011-03-04,"2,784.67","489,530,000",-0.50%
2011-03-07,"2,745.63","586,990,000",-1.40%
2011-03-08,"2,765.77","476,580,000",0.73%
2011-03-09,"2,751.72","502,980,000",-0.51%
2011-03-10,"2,701.02","635,120,000",-1.84%
2011-03-11,"2,715.61","479,300,000",0.54%
2011-03-14,"2,700.97","467,230,000",-0.54%
2011-03-15,"2,667.33","630,410,000",-1.25%
2011-03-16,"2,616.82","683,020,000",-1.89%
2011-03-17,"2,636.05","515,470,000",0.73%
2011-03-18,"2,643.67","957,290,000",0.29%
2011-03-21,"2,692.09","462,880,000",1.83%
2011-03-22,"2,683.87","423,830,000",-0.31%
2011-03-23,"2,698.30","445,350,000",0.54%
2011-03-24,"2,736.42","503,130,000",1.41%
2011-03-25,"2,743.06","471,150,000",0.24%
2011-03-28,"2,730.68","430,300,000",-0.45%
2011-03-29,"2,756.89","410,890,000",0.96%
2011-03-30,"2,776.79","466,640,000",0.72%
2011-03-31,"2,781.07","512,950,000",0.15%
2011-04-01,"2,789.60","562,200,000",0.31%
2011-04-04,"2,789.19","428,470,000",-0.01%
2011-04-05,"2,791.19","481,220,000",0.07%
2011-04-06,"2,799.82","486,870,000",0.31%
2011-04-07,"2,796.14","476,140,000",-0.13%
2011-04-08,"2,780.41","422,400,000",-0.56%
