Date,Price,Open,High,Low,Vol.,Change %
2026-07-01,"1,922.81","1,916.25","1,941.20","1,896.42",392.77M,0.82%
2026-06-30,"1,907.11","1,892.46","1,914.94","1,892.46",399.10M,0.07%
2026-06-29,"1,905.69","1,865.29","1,918.16","1,865.29",407.49M,2.68%
2026-06-26,"1,855.95","1,828.00","1,865.36","1,824.51",801.07M,1.55%
2026-06-25,"1,827.61","1,852.73","1,852.73","1,822.82",406.78M,-1.78%
2026-06-24,"1,860.71","1,848.34","1,898.80","1,848.34",407.30M,0.80%
2026-06-23,"1,846.01","1,847.22","1,863.53","1,842.37",416.66M,-0.93%
2026-06-22,"1,863.37","1,884.78","1,899.48","1,863.32",417.32M,-2.33%
2026-06-18,"1,907.81","1,892.69","1,914.32","1,872.40",598.76M,1.76%
2026-06-17,"1,874.78","1,916.96","1,921.52","1,869.67",351.16M,-2.69%
2026-06-16,"1,926.65","1,929.19","1,945.11","1,924.11",323.19M,-0.11%
2026-06-15,"1,928.80","1,929.22","1,942.64","1,924.61",381.75M,1.91%
2026-06-12,"1,892.59","1,900.36","1,900.36","1,862.52",356.90M,0.01%
2026-06-11,"1,892.38","1,855.46","1,894.47","1,844.70",354.23M,2.39%
2026-06-10,"1,848.21","1,884.53","1,885.49","1,846.35",333.80M,-2.23%
2026-06-09,"1,890.31","1,901.48","1,924.86","1,862.64",391.27M,0.12%
2026-06-08,"1,888.13","1,882.30","1,897.78","1,880.42",306.16M,0.49%
2026-06-05,"1,878.85","1,929.57","1,938.75","1,875.91",413.73M,-2.43%
2026-06-04,"1,925.74","1,932.52","1,940.18","1,923.58",342.75M,0.52%
2026-06-03,"1,915.77","1,919.77","1,936.28","1,903.98",392.78M,-1.07%
2026-06-02,"1,936.56","1,935.08","1,951.80","1,920.30",385.16M,-0.71%
2026-06-01,"1,950.45","1,978.53","1,978.53","1,948.72",456.32M,-2.62%
2026-05-29,"2,002.94","2,011.70","2,025.97","2,001.09",593.30M,-1.05%
2026-05-28,"2,024.18","2,008.86","2,026.09","1,994.38",404.38M,0.54%
2026-05-27,"2,013.30","1,993.65","2,017.02","1,993.65",428.88M,1.89%
2026-05-26,"1,975.96","1,985.21","1,990.60","1,962.40",391.22M,0.13%
2026-05-22,"1,973.32","1,976.38","1,987.16","1,970.47",374.05M,0.20%
2026-05-21,"1,969.32","1,950.50","1,977.84","1,935.70",384.81M,0.77%
2026-05-20,"1,954.21","1,911.39","1,954.38","1,906.29",407.27M,2.50%
2026-05-19,"1,906.62","1,910.20","1,913.11","1,889.24",361.17M,-1.32%
2026-05-18,"1,932.16","1,932.29","1,957.31","1,918.97",367.21M,-0.20%
2026-05-15,"1,936.06","1,943.75","1,945.74","1,930.35",420.80M,-1.83%
2026-05-14,"1,972.25","1,981.82","1,988.39","1,970.08",467.39M,-0.31%
2026-05-13,"1,978.34","1,958.01","1,985.17","1,950.47",541.51M,0.75%
2026-05-12,"1,963.60","1,976.59","1,980.68","1,946.50",361.60M,-1.06%
2026-05-11,"1,984.61","1,979.67","1,995.86","1,972.26",415.84M,-0.64%
