date,sp500_25,sp500_25_change_pct
2011-01-07,297.61,-0.04%
2011-01-10,297.61,0.00%
2011-01-11,297.46,-0.05%
2011-01-12,298.19,0.25%
2011-01-13,297.67,-0.17%
2011-01-14,299.55,0.63%
2011-01-18,300.33,0.26%
2011-01-19,297.36,-0.99%
2011-01-20,298.01,0.22%
2011-01-21,298.33,0.11%
2011-01-24,299.98,0.55%
2011-01-25,299.99,0.00%
2011-01-26,300.36,0.12%
2011-01-27,302.67,0.77%
2011-01-28,293.13,-3.15%
2011-01-31,293.42,0.10%
2011-02-01,297.02,1.23%
2011-02-02,296.33,-0.23%
2011-02-03,299.77,1.16%
2011-02-04,301.75,0.66%
2011-02-07,303.37,0.54%
2011-02-08,306.96,1.18%
2011-02-09,308.77,0.59%
2011-02-10,309.41,0.21%
2011-02-11,312.34,0.95%
2011-02-14,311.08,-0.40%
2011-02-15,311.5,0.14%
2011-02-16,314,0.80%
2011-02-17,314.4,0.13%
2011-02-18,315.79,0.44%
2011-02-22,308.27,-2.38%
2011-02-23,303.71,-1.48%
2011-02-24,305.18,0.48%
2011-02-25,308.41,1.06%
2011-02-28,310.37,0.64%
2011-03-01,304.94,-1.75%
2011-03-02,306.13,0.39%
2011-03-03,311.23,1.67%
2011-03-04,309.07,-0.69%
2011-03-07,306.06,-0.97%
2011-03-08,308.1,0.67%
2011-03-09,308.73,0.20%
2011-03-10,305.53,-1.04%
2011-03-11,307.12,0.52%
2011-03-14,303.68,-1.12%
2011-03-15,301.14,-0.84%
2011-03-16,296.08,-1.68%
2011-03-17,297.44,0.46%
2011-03-18,297.25,-0.06%
2011-03-21,301.55,1.45%
2011-03-22,299.2,-0.78%
2011-03-23,301.72,0.84%
2011-03-24,306.09,1.45%
2011-03-25,306.78,0.23%
2011-03-28,303.5,-1.07%
2011-03-29,306.32,0.93%
2011-03-30,309.6,1.07%
2011-03-31,308.4,-0.39%
2011-04-01,310.63,0.72%
2011-04-04,311.06,0.14%
2011-04-05,312.26,0.39%
2011-04-06,311.58,-0.22%
2011-04-07,310.54,-0.33%
2011-04-08,308.81,-0.56%
2011-04-11,308.58,-0.07%
2011-04-12,308.09,-0.16%
2011-04-13,309.12,0.33%
2011-04-14,308.35,-0.25%
2011-04-15,310.19,0.60%
2011-04-18,307.29,-0.93%
2011-04-19,308.07,0.25%
2011-04-20,313.41,1.73%
2011-04-21,315.41,0.64%
2011-04-25,314.75,-0.21%
2011-04-26,315.58,0.26%
2011-04-27,319.14,1.13%
2011-04-28,320.51,0.43%
2011-04-29,320.38,-0.04%
2011-05-02,321.38,0.31%
2011-05-03,319.75,-0.51%
2011-05-04,318.54,-0.38%
2011-05-05,317.96,-0.18%
2011-05-06,318.01,0.02%
2011-05-09,318.49,0.15%
2011-05-10,322.48,1.25%
2011-05-11,319.84,-0.82%
2011-05-12,322.58,0.86%
2011-05-13,320.39,-0.68%
2011-05-16,315.83,-1.42%
2011-05-17,316.28,0.14%
2011-05-18,319.92,1.15%
2011-05-19,320.98,0.33%
2011-05-20,317.93,-0.95%
2011-05-23,314.95,-0.94%
2011-05-24,313.29,-0.53%
2011-05-25,313.33,0.01%
2011-05-26,315.86,0.81%
2011-05-27,316.85,0.31%
2011-05-31,318.91,0.65%
2011-06-01,311.63,-2.28%
2011-06-02,310.92,-0.23%
2011-06-03,306.62,-1.38%
2011-06-06,303.62,-0.98%
2011-06-07,303.99,0.12%
2011-06-08,301.52,-0.81%
2011-06-09,303.84,0.77%
2011-06-10,298.24,-1.84%
2011-06-13,297.77,-0.16%
2011-06-14,302.94,1.74%
2011-06-15,298.46,-1.48%
2011-06-16,297.83,-0.21%
2011-06-17,299.88,0.69%
2011-06-20,302.48,0.87%
2011-06-21,308.56,2.01%
2011-06-22,306.09,-0.80%
2011-06-23,307.29,0.39%
2011-06-24,304.2,-1.01%
2011-06-27,307.94,1.23%
2011-06-28,313.69,1.87%
2011-06-29,315,0.42%
2011-06-30,317.89,0.92%
