date,spx,spx_change_pct
2011-01-07,"1,271.50",-0.18%
2011-01-10,"1,269.80",-0.13%
2011-01-11,"1,274.50",0.37%
2011-01-12,"1,286.00",0.90%
2011-01-13,"1,283.80",-0.17%
2011-01-14,"1,293.20",0.73%
2011-01-18,"1,295.00",0.14%
2011-01-19,"1,281.90",-1.01%
2011-01-20,"1,280.30",-0.12%
2011-01-21,"1,283.30",0.23%
2011-01-24,"1,290.80",0.58%
2011-01-25,"1,291.20",0.03%
2011-01-26,"1,296.60",0.42%
2011-01-27,"1,299.50",0.22%
2011-01-28,"1,276.30",-1.79%
2011-01-31,"1,286.10",0.77%
2011-02-01,"1,307.60",1.67%
2011-02-02,"1,304.00",-0.28%
2011-02-03,"1,307.10",0.24%
2011-02-04,"1,310.90",0.29%
2011-02-07,"1,319.00",0.62%
2011-02-08,"1,324.60",0.42%
2011-02-09,"1,320.90",-0.28%
2011-02-10,"1,321.90",0.08%
2011-02-11,"1,329.20",0.55%
2011-02-14,"1,332.30",0.23%
2011-02-15,"1,328.00",-0.32%
2011-02-16,"1,336.30",0.63%
2011-02-17,"1,340.40",0.31%
2011-02-18,"1,343.00",0.19%
2011-02-22,"1,315.40",-2.06%
2011-02-23,"1,307.40",-0.61%
2011-02-24,"1,306.10",-0.10%
2011-02-25,"1,319.90",1.06%
2011-02-28,"1,327.20",0.55%
2011-03-01,"1,306.30",-1.57%
2011-03-02,"1,308.40",0.16%
2011-03-03,"1,331.00",1.73%
2011-03-04,"1,321.20",-0.74%
2011-03-07,"1,310.10",-0.84%
2011-03-08,"1,321.80",0.89%
2011-03-09,"1,320.00",-0.14%
2011-03-10,"1,295.10",-1.89%
2011-03-11,"1,304.30",0.71%
2011-03-14,"1,296.40",-0.61%
2011-03-15,"1,281.90",-1.12%
2011-03-16,"1,256.90",-1.95%
2011-03-17,"1,273.70",1.34%
2011-03-18,"1,279.20",0.43%
2011-03-21,"1,298.40",1.50%
2011-03-22,"1,293.80",-0.35%
2011-03-23,"1,297.50",0.29%
2011-03-24,"1,309.70",0.94%
2011-03-25,"1,313.80",0.31%
2011-03-28,"1,310.20",-0.27%
2011-03-29,"1,319.40",0.70%
2011-03-30,"1,328.30",0.67%
2011-03-31,"1,325.80",-0.19%
2011-04-01,"1,332.40",0.50%
2011-04-04,"1,332.90",0.04%
2011-04-05,"1,332.60",-0.02%
2011-04-06,"1,335.50",0.22%
2011-04-07,"1,333.50",-0.15%
2011-04-08,"1,328.20",-0.40%
2011-04-11,"1,324.50",-0.28%
2011-04-12,"1,314.20",-0.78%
2011-04-13,"1,314.40",0.02%
2011-04-14,"1,314.50",0.01%
2011-04-15,"1,319.70",0.40%
2011-04-18,"1,305.10",-1.11%
2011-04-19,"1,312.60",0.57%
2011-04-20,"1,330.40",1.36%
2011-04-21,"1,337.40",0.53%
2011-04-25,"1,335.20",-0.16%
2011-04-26,"1,347.20",0.90%
2011-04-27,"1,355.70",0.63%
2011-04-28,"1,360.50",0.35%
2011-04-29,"1,363.60",0.23%
2011-05-02,"1,361.20",-0.18%
2011-05-03,"1,356.60",-0.34%
2011-05-04,"1,347.30",-0.69%
2011-05-05,"1,335.10",-0.91%
2011-05-06,"1,340.20",0.38%
2011-05-09,"1,346.30",0.46%
2011-05-10,"1,357.20",0.81%
2011-05-11,"1,342.10",-1.11%
2011-05-12,"1,348.70",0.49%
2011-05-13,"1,337.80",-0.81%
2011-05-16,"1,329.50",-0.62%
2011-05-17,"1,329.00",-0.04%
2011-05-18,"1,340.70",0.88%
2011-05-19,"1,343.60",0.22%
2011-05-20,"1,333.30",-0.77%
2011-05-23,"1,317.40",-1.19%
2011-05-24,"1,316.30",-0.08%
2011-05-25,"1,320.50",0.32%
2011-05-26,"1,325.70",0.39%
2011-05-27,"1,331.10",0.41%
2011-05-31,"1,345.20",1.06%
2011-06-01,"1,314.50",-2.28%
2011-06-02,"1,312.90",-0.12%
2011-06-03,"1,300.20",-0.97%
2011-06-06,"1,286.20",-1.08%
2011-06-07,"1,284.90",-0.10%
2011-06-08,"1,279.60",-0.41%
2011-06-09,"1,289.00",0.73%
2011-06-10,"1,271.00",-1.40%
2011-06-13,"1,271.80",0.06%
2011-06-14,"1,287.90",1.27%
2011-06-15,"1,265.40",-1.75%
2011-06-16,"1,267.60",0.17%
2011-06-17,"1,271.50",0.31%
2011-06-20,"1,278.40",0.54%
2011-06-21,"1,295.50",1.34%
2011-06-22,"1,287.10",-0.65%
2011-06-23,"1,283.50",-0.28%
2011-06-24,"1,268.50",-1.17%
2011-06-27,"1,280.10",0.91%
2011-06-28,"1,296.70",1.30%
2011-06-29,"1,307.40",0.83%
2011-06-30,"1,320.60",1.01%
2011-07-01,"1,339.70",1.45%
2011-07-05,"1,337.90",-0.13%
2011-07-06,"1,339.20",0.10%
2011-07-07,"1,353.20",1.05%
2011-07-08,"1,343.80",-0.69%
2011-07-11,"1,319.50",-1.81%
2011-07-12,"1,313.60",-0.45%
2011-07-13,"1,317.70",0.31%
2011-07-14,"1,308.90",-0.67%
2011-07-15,"1,316.10",0.55%
2011-07-18,"1,305.40",-0.81%
2011-07-19,"1,326.70",1.63%
2011-07-20,"1,325.80",-0.07%
2011-07-21,"1,343.80",1.36%
2011-07-22,"1,345.00",0.09%
2011-07-25,"1,337.40",-0.57%
2011-07-26,"1,331.90",-0.41%
2011-07-27,"1,304.90",-2.03%
2011-07-28,"1,300.70",-0.32%
2011-07-29,"1,292.30",-0.65%
2011-08-01,"1,286.90",-0.42%
2011-08-02,"1,254.00",-2.56%
2011-08-03,"1,260.30",0.50%
2011-08-04,"1,200.10",-4.78%
2011-08-05,"1,199.40",-0.06%
2011-08-08,"1,119.50",-6.66%
2011-08-09,"1,172.50",4.73%
2011-08-10,"1,120.80",-4.41%
2011-08-11,"1,172.60",4.62%
