Tag,start,end,val,form,frame
RevenueFromContractWithCustomerExcludingAssessedTax,2016-01-01,2016-12-31,135987000000,10-K,CY2016
RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-03-31,35714000000,10-K,CY2017Q1
RevenueFromContractWithCustomerExcludingAssessedTax,2017-04-01,2017-06-30,37955000000,10-K,CY2017Q2
RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-09-30,117413000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2017-07-01,2017-09-30,43744000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2017-07-01,2017-09-30,43744000000,10-K,CY2017Q3
RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-12-31,177866000000,10-K,None
RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-12-31,177866000000,10-K,CY2017
RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2017-12-31,60453000000,10-K,CY2017Q4
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-03-31,51042000000,10-K,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-03-31,51042000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-03-31,51042000000,10-K,CY2018Q1
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-06-30,103928000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,52886000000,10-K,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,52886000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,52886000000,10-K,CY2018Q2
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-09-30,160504000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-09-30,160504000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-30,56576000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-30,56576000000,10-K,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-30,56576000000,10-Q,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-30,56576000000,10-K,CY2018Q3
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-12-31,232887000000,10-K,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-12-31,232887000000,10-K,None
RevenueFromContractWithCustomerExcludingAssessedTax,2018-01-01,2018-12-31,232887000000,10-K,CY2018
